401 269203 684
402 269887 693
403 270580 690
404 271270 666
405 271936 703
406 272639 692
407 273331 647
408 273978 652
409 274630 644
410 275274 704
411 275978 698
412 276676 673
413 277349 673
414 278022 665
415 278687 694
416 279381 671
417 280052 654
418 280706 660
419 281366 655
420 282021 647
421 282668 661
422 283329 650
423 283979 670
424 284649 635
425 285284 648
426 285932 663
427 286595 659
428 287254 704
429 287958 685
430 288643 689
431 289332 658
432 289990 672
433 290662 694
434 291356 651
435 292007 665
436 292672 666
437 293338 644
438 293982 648
439 294630 704
440 295334 667
441 296001 698
442 296699 665
443 297364 680
444 298044 658
445 298702 638
446 299340 694
447 300034 704
448 300738 694
449 301432 666
450 302098 697
451 302795 666
452 303461 674
453 304135 658
454 304793 694
455 305487 646
456 306133 654
457 306787 673
458 307460 676
459 308136 649
460 308785 647
461 309432 698
462 310130 675
463 310805 648
464 311453 646
465 312099 704
466 312803 638
467 313441 680
468 314121 717
469 314838 644
470 315482 651
471 316133 646
472 316779 656
473 317435 634
474 318069 658
475 318727 641
476 319368 640
477 320008 667
478 320675 649
479 321324 693
480 322017 703
481 322720 632
482 323352 675
483 324027 661
484 324688 1605
485 326293 3093
486 329386 1194
487 330580 599
488 331179 1585
489 332764 1656
490 334420 1582
491 336002 8836
492 344838 7799
493 352637 4451
494 357088 2942
495 360030 7707
496 367737 4065
497 371802 12572
498 384374 4946
499 389320 2545
500 391865 3921
501 395786 16225
502 412011 6331
503 418342 2642
504 420984 321
505 421305 2371
506 423676 3878
507 427554 2840
508 430394 13583
509 443977 7954
510 451931 1931
511 453862 2802
512 456664 1953
513 458617 1871
514 460488 3493
515 463981 2238
516 466219 3080
517 469299 2013
518 471312 1851
519 473163 2213
520 475376 2959
521 478335 2879
522 481214 1952
523 483166 2237
524 485403 2212
525 487615 1850
526 489465 2012
527 491477 2626
528 494103 3343
529 497446 2190
530 499636 1933
531 501569 1796
532 503365 2108
533 505473 4524
534 509997 3920
535 513917 3822
536 517739 3029
537 520768 2474
538 523242 2589
539 525831 2354
540 528185 2395
541 530580 336
542 530916 3920
543 534836 9976
544 544812 982
545 545794 4446
546 550240 7194
547 557434 321
548 557755 3221
549 560976 2694
550 563670 2401
551 566071 2620
552 568691 3591
553 572282 4376
554 576658 2633
555 579291 5014
556 584305 2772
557 587077 8250
558 595327 2775
559 598102 2469
560 600571 1242
561 601813 17863
562 619676 2983
563 622659 5910
564 628569 3505
565 632074 1964
566 634038 3102
567 637140 4517
568 641657 4398
569 646055 3742
570 649797 3014
571 652811 24598
572 677409 11355
573 688764 16347
574 705111 30750
575 735861 3808
576 739669 215
577 739884 177
578 740061 205
579 740266 177
580 740443 622
581 741065 656
582 741721 629
583 742350 674
584 743024 656
585 743680 632
586 744312 190
587 744502 602
588 745104 625
589 745729 688
590 746417 231
591 746648 177
592 746825 659
593 747484 171
594 747655 669
595 748324 639
596 748963 634
597 749597 637
598 750234 637
599 750871 637
